17,43,44,86,77,54,23,50,29,75,85,58,71,57,2,10,31,53,30,44,90,79,61,88,65,0,52,20,13,16,92,3,49,25,28,56,95,91,76,50,46,64,89,26,89,34,19,91,26,71,
84,65,29,86,97,76,10,74,67,48,44,1,43,81,12,45,83,62,72,9,60,53,78,8,13,64,82,10,61,67,36,37,2,81,2,8,59,76,18,51,79,50,16,5,54,74,68,0,27,82,
70,64,73,5,28,58,10,89,4,11,91,5,46,76,57,50,35,93,16,12,96,65,22,94,79,2,19,99,67,38,72,11,97,23,48,45,42,3,52,64,73,63,93,30,19,69,42,72,54,2,
24,17,90,63,44,32,79,8,76,47,52,91,35,12,49,86,78,36,19,95,81,84,65,31,68,52,0,88,39,71,18,50,94,15,73,75,37,99,0,20,8,3,72,60,18,80,99,98,89,37,
27,9,31,45,41,66,41,10,14,86,64,37,61,94,34,9,37,82,1,1,18,93,55,14,42,20,33,41,10,34,25,79,59,69,34,36,53,40,7,53,35,78,3,0,49,38,48,74,96,60,
78,92,6,73,8,26,9,40,71,87,0,50,86,45,0,99,34,47,3,17,96,3,33,34,89,82,78,44,85,87,60,96,16,56,61,9,35,75,24,62,56,18,21,2,98,75,88,71,74,30,
7,94,28,57,99,95,46,28,95,37,24,31,75,7,57,1,19,16,15,44,45,25,34,23,32,36,27,92,36,58,40,28,84,50,99,69,78,34,68,46,86,98,17,48,28,90,74,48,30,57,
42,81,1,73,59,55,69,75,65,48,18,63,60,45,53,51,67,63,8,95,21,12,65,89,0,40,33,35,18,82,10,49,27,2,9,14,34,47,56,67,55,74,8,89,94,24,68,36,30,88,
97,90,50,71,10,53,95,49,55,30,11,15,84,17,23,6,99,11,91,27,45,33,72,68,50,75,43,98,25,11,92,13,62,75,39,74,40,74,15,36,60,46,36,72,36,5,8,90,47,86,
17,0,72,24,65,34,56,33,52,10,35,78,54,37,85,2,60,70,7,49,99,95,8,29,99,42,38,28,96,64,33,31,29,61,65,93,20,95,70,94,4,98,27,27,9,55,84,97,36,47,
68,66,95,6,13,9,18,21,13,33,30,73,54,30,75,77,40,36,68,95,42,51,41,95,6,60,84,58,27,11,61,56,29,76,36,37,81,49,21,74,62,40,7,55,56,64,34,89,83,78,
3,83,38,35,55,69,7,54,34,13,0,79,87,86,75,32,69,93,7,9,60,97,40,68,99,43,56,46,93,10,33,66,89,53,0,12,47,82,23,24,75,57,13,82,57,63,44,90,43,65,
28,2,17,71,55,56,48,18,14,87,1,27,27,88,80,27,96,76,75,43,28,79,76,99,52,74,40,38,83,59,82,93,51,1,39,68,70,48,65,31,30,55,85,83,18,91,60,40,62,50,
92,21,62,68,42,52,59,13,8,54,6,72,90,42,5,36,61,74,26,85,19,56,71,78,82,86,56,50,51,69,60,87,90,55,10,28,28,33,50,68,90,96,55,98,44,2,78,88,72,55,
73,24,27,22,56,72,65,5,59,29,72,22,10,11,36,48,11,16,29,95,51,69,48,5,64,95,72,39,2,71,29,65,89,58,34,1,52,88,47,8,15,14,21,91,95,98,66,5,21,79,
45,28,45,20,66,92,12,93,45,71,44,10,5,7,94,60,28,7,68,70,73,87,78,33,59,81,35,49,9,1,61,43,80,8,14,40,63,62,44,63,45,98,98,97,63,66,5,28,50,2,
4,18,40,86,64,48,74,67,15,23,40,75,61,88,13,92,56,75,49,57,41,61,14,5,44,61,7,0,53,47,15,2,85,92,70,78,17,16,55,40,75,33,75,70,70,58,10,66,71,41,
34,62,16,68,51,94,49,5,0,95,43,44,38,9,16,66,14,39,94,71,93,88,2,34,8,85,97,70,17,77,70,85,22,84,56,46,21,8,2,87,85,43,98,74,18,45,0,79,50,65,
74,13,50,9,84,35,6,80,63,54,10,43,80,72,17,0,66,29,74,83,15,64,2,31,12,44,41,2,15,25,43,8,54,39,3,49,82,29,61,55,8,16,29,95,26,5,40,8,68,50,
20,4,72,59,42,21,1,96,44,43,1,50,9,91,37,45,61,74,55,29,26,51,3,49,18,91,56,13,74,64,20,12,99,66,79,76,71,75,29,56,37,31,59,12,24,73,81,43,45,22,
79,25,2,2,49,72,26,93,61,86,80,69,35,19,62,40,24,76,92,43,94,50,67,85,21,72,24,17,54,15,44,43,54,42,53,33,62,93,13,15,38,11,53,13,71,32,53,72,22,26,
52,95,63,94,5,92,55,28,99,12,26,10,17,34,17,5,5,15,38,79,52,37,12,6,59,33,17,60,74,41,51,11,39,65,19,62,93,26,13,90,71,52,20,73,14,25,93,73,19,71,
71,39,97,77,11,65,11,59,86,65,75,48,38,97,76,7,2,25,87,7,63,26,52,9,76,7,88,25,46,16,35,31,7,57,95,65,80,52,41,73,82,37,21,49,16,25,61,33,34,84,
78,75,65,69,77,42,38,77,23,69,32,48,91,3,2,9,46,62,10,80,56,13,69,54,6,46,89,58,88,8,42,98,19,95,39,74,43,43,26,47,49,45,21,51,47,52,83,95,90,89,
72,4,84,70,32,42,1,12,24,77,48,78,69,9,36,27,50,12,48,95,86,24,16,33,95,39,61,43,23,47,85,70,87,95,80,74,90,44,94,99,20,9,35,18,63,20,82,29,8,36,
5,65,60,92,12,86,17,95,42,56,35,30,7,28,1,80,62,91,96,89,20,17,56,21,80,1,7,4,67,71,30,26,7,1,22,3,82,70,19,0,60,12,21,26,95,0,21,16,65,74,
51,92,24,81,79,96,80,19,28,70,24,64,54,78,92,90,96,14,33,24,58,50,21,52,39,17,5,39,72,89,31,2,67,64,52,69,68,81,28,80,11,8,33,23,47,17,62,89,7,99,
42,54,91,92,43,60,8,25,6,78,99,34,37,67,75,18,91,81,38,83,3,73,2,94,33,19,18,95,3,47,33,98,71,0,83,96,20,91,75,38,4,59,2,46,51,77,17,96,96,23,
35,14,80,46,55,30,99,28,45,73,81,74,0,34,67,28,32,10,88,1,0,78,33,62,86,94,99,30,88,48,60,16,36,91,7,54,3,86,51,55,52,44,15,13,25,38,85,37,71,72,
58,5,85,49,2,55,67,39,1,93,33,38,17,11,9,76,52,77,34,77,89,85,65,29,67,74,56,62,80,39,82,47,79,30,28,6,38,73,85,58,81,50,34,95,91,32,33,31,75,50,
40,79,56,27,40,64,63,80,73,64,39,88,50,19,99,78,81,20,36,53,6,2,95,6,60,69,36,19,84,25,17,66,86,12,85,64,43,42,0,13,68,23,87,73,1,76,41,49,48,5,
75,34,42,5,99,74,94,2,57,61,4,30,67,54,40,18,85,8,71,67,85,0,94,71,13,92,65,62,99,83,79,87,73,43,46,46,8,76,94,74,39,59,19,98,67,96,89,12,83,52,
31,62,59,92,27,61,47,65,81,66,74,62,97,14,49,49,80,5,16,85,17,95,88,67,89,55,79,68,85,13,95,77,43,75,85,34,64,82,89,57,29,0,46,44,5,37,66,99,43,64,
2,26,77,56,96,18,45,77,93,43,29,98,60,37,33,63,55,58,9,55,82,78,11,0,27,23,27,99,49,79,9,2,24,9,25,85,33,5,73,96,58,5,32,9,91,81,5,8,85,99,
75,40,6,83,2,21,60,14,41,2,97,34,5,8,54,81,94,91,36,83,1,53,22,58,8,0,62,45,69,55,3,22,2,43,11,31,55,52,84,35,65,69,21,92,76,34,70,80,72,72,
83,13,11,62,7,63,2,89,80,0,45,65,21,73,41,85,26,62,52,96,5,71,19,22,96,61,50,25,81,52,25,52,99,25,49,91,59,59,34,50,58,98,39,54,20,8,68,39,5,46,
96,65,70,99,94,89,14,38,19,43,27,29,87,51,51,33,73,4,27,16,6,32,25,26,52,3,7,75,37,11,44,18,24,97,72,44,18,79,52,68,66,59,85,65,67,80,47,56,76,46,
50,90,77,40,92,45,53,38,91,31,46,69,89,51,40,39,1,46,97,88,67,4,71,3,77,96,74,48,70,63,91,38,87,24,28,47,53,0,42,50,69,18,57,60,80,52,95,22,71,26,
68,29,19,36,76,6,52,94,29,17,74,16,21,75,57,81,29,44,46,66,39,1,38,91,27,14,67,97,0,5,49,44,19,63,26,36,36,53,52,50,36,79,27,77,9,20,8,64,71,54,
69,69,56,7,41,53,90,66,89,77,55,92,81,72,54,62,87,65,90,98,42,80,47,64,87,58,33,42,78,72,8,1,99,87,8,14,19,19,87,42,7,13,93,26,61,34,10,36,93,63,
60,29,17,42,79,26,65,10,72,59,45,84,93,58,1,77,61,54,84,34,24,60,76,89,6,49,84,4,73,39,78,29,8,17,28,39,7,71,64,33,67,47,47,72,75,44,95,15,19,62,
49,23,30,6,61,96,65,40,19,72,50,61,22,27,26,73,10,31,79,51,25,62,78,50,88,69,14,10,40,82,53,16,22,7,6,50,72,63,69,21,30,66,60,42,62,87,75,74,96,42,
9,85,59,19,29,25,57,35,8,13,61,4,13,55,37,40,93,87,27,19,73,84,29,61,66,63,99,40,96,18,63,2,84,86,68,96,15,76,32,84,11,12,12,45,60,56,44,47,91,68,
13,34,26,66,10,72,79,98,12,8,30,87,43,55,9,25,10,60,24,76,83,45,82,97,85,45,13,17,32,90,23,41,29,0,20,81,11,75,90,86,80,7,71,92,95,57,39,49,52,26,
37,41,53,1,85,53,74,19,90,41,86,92,64,51,44,71,46,43,85,34,41,34,99,53,27,19,60,68,46,79,54,82,94,66,9,60,59,52,92,83,73,59,20,78,26,33,36,97,45,35,
81,66,92,72,60,91,8,55,97,99,66,94,55,61,36,51,2,1,9,88,75,23,24,70,96,93,83,14,12,38,17,20,64,27,66,2,25,8,9,65,80,38,39,4,53,34,13,17,68,3,
70,25,4,85,40,98,44,13,17,10,41,8,89,69,85,71,90,87,79,36,88,14,22,63,42,26,76,10,18,10,51,20,5,14,75,46,3,89,53,41,24,9,24,31,87,81,77,3,46,16,
7,96,65,73,82,97,29,60,43,11,91,60,51,78,1,69,29,8,69,92,77,44,68,27,86,4,41,26,59,89,83,76,97,59,59,24,46,57,30,39,50,4,66,97,13,57,83,14,17,50,
83,33,28,33,3,28,0,89,71,65,94,93,86,15,1,26,77,93,47,75,96,20,26,36,39,84,57,43,24,87,64,58,79,20,57,72,45,64,15,15,91,98,68,13,82,12,40,57,12,38,
7,80,30,31,67,92,52,18,1,5,41,95,98,63,20,97,16,45,44,96,9,93,51,91,43,73,8,52,88,35,69,95,56,72,9,89,11,28,32,55,60,27,7,55,15,79,77,45,59,67,
17,86,42,66,73,23,56,68,51,80,10,47,78,54,91,36,33,48,20,24,25,8,48,52,26,16,85,15,66,33,73,85,38,83,81,86,88,77,22,40,95,89,54,60,61,99,55,59,73,88,
65,64,83,48,85,37,21,9,32,5,56,35,50,40,56,43,29,69,29,4,83,57,19,69,3,16,89,40,2,98,61,21,95,66,1,61,95,40,13,59,93,95,25,64,44,83,11,1,21,55,
16,9,70,11,49,10,22,30,35,21,36,23,0,92,74,96,41,21,90,51,79,80,34,64,97,88,30,51,28,54,68,1,67,58,24,4,48,54,83,79,92,32,62,79,79,77,88,43,29,40,
88,85,50,87,30,53,33,99,61,5,93,69,77,97,63,28,32,7,81,78,19,45,86,95,19,91,49,20,42,61,92,9,33,10,25,42,72,50,91,84,62,35,70,34,11,73,83,95,81,14,
33,48,94,54,66,41,38,80,51,50,18,82,2,93,66,67,59,68,85,63,87,63,68,48,0,72,40,94,4,74,58,76,27,28,97,34,78,21,67,97,2,64,54,53,2,12,79,93,23,75,
58,5,65,77,3,73,31,41,23,52,58,64,64,25,61,56,78,54,38,9,61,44,61,41,23,61,74,9,5,56,81,81,56,57,27,8,82,10,19,31,81,19,77,8,12,2,47,79,6,90,
66,91,71,60,5,96,35,58,97,16,41,76,6,36,3,6,13,68,41,58,64,35,13,69,1,80,44,96,65,25,36,68,99,69,69,16,60,41,74,81,10,25,42,42,61,43,5,71,89,97,
48,47,95,16,90,79,78,35,34,44,84,71,97,54,67,4,70,81,99,54,2,87,84,10,94,53,30,78,61,4,60,10,4,57,41,27,50,96,47,9,24,62,99,19,5,84,40,12,81,54,
9,12,0,28,61,9,82,63,55,42,95,9,75,44,26,15,71,98,37,77,8,38,20,11,70,57,27,43,26,12,97,16,70,31,33,60,61,19,19,89,47,56,73,37,23,50,44,82,70,73,
21,53,2,89,20,24,18,50,33,41,57,31,19,20,0,84,53,39,26,0,0,77,41,7,14,8,98,39,79,44,96,68,78,53,91,58,96,2,30,90,9,6,73,24,44,13,77,58,22,68,
72,12,79,29,50,58,64,67,93,34,20,79,68,34,78,87,56,69,21,29,13,67,61,95,43,35,97,70,96,8,42,48,14,54,4,66,76,41,69,18,78,78,69,66,6,12,78,50,1,61,
94,68,46,6,44,20,39,62,92,36,50,77,74,6,57,24,48,86,47,61,17,0,36,59,19,62,33,82,20,85,36,76,35,50,49,74,47,90,65,74,85,62,79,16,54,80,81,37,5,65,
51,49,33,65,5,15,12,67,81,75,86,99,77,74,51,93,66,71,40,44,63,40,10,31,45,1,53,18,83,76,55,52,45,6,93,97,23,93,38,28,35,24,85,48,37,0,27,41,13,85,
76,66,78,41,10,62,56,38,97,28,24,57,75,21,48,29,40,5,46,4,99,16,37,93,39,25,57,28,86,15,9,60,61,80,47,22,93,67,18,71,86,11,50,48,14,43,95,89,76,92,
99,78,82,78,86,69,69,6,97,14,49,2,45,13,14,46,39,32,18,67,1,27,84,42,80,26,3,0,7,95,25,6,82,23,20,15,3,20,50,0,35,57,84,97,4,89,72,36,43,62,
19,70,51,20,56,62,45,40,15,49,2,41,94,84,46,93,40,18,41,12,32,61,16,38,81,93,15,19,36,30,42,74,37,55,58,46,54,87,87,33,6,63,63,42,2,70,36,62,12,8,
58,85,28,43,98,60,97,36,65,54,11,22,20,57,67,22,42,67,81,53,27,12,99,14,27,60,5,0,0,31,36,11,81,84,59,95,85,38,18,49,39,96,74,60,47,60,30,47,30,96,
91,96,13,92,10,93,62,45,47,73,72,18,65,4,34,90,83,91,66,3,29,52,7,96,24,75,33,94,31,0,30,81,46,33,71,85,20,56,91,9,52,22,8,24,5,74,69,53,92,55,
